Batter,Dismissal,R,B,4s,6s,SR
Mitchell Marsh (c),c Arshdeep Singh b Shivam Dube,30,24,4,0,125.00
Matthew Short,lbw b Axar,25,19,2,2,131.58
Josh Inglis (wk),b Axar,12,11,2,0,109.09
Tim David,c Suryakumar Yadav b Shivam Dube,14,9,1,1,155.56
Josh Philippe,c Varun Chakaravarthy b Arshdeep Singh,10,10,1,0,100.00
Marcus Stoinis,lbw b Washington Sundar,17,19,2,0,89.47
Glenn Maxwell,b Varun Chakaravarthy,2,4,0,0,50.00
Ben Dwarshuis,b Bumrah,5,7,0,0,71.43
Xavier Bartlett,c and b Washington Sundar,0,1,0,0,0.00
Nathan Ellis,not out,2,5,0,0,40.00
Adam Zampa,c Shubman Gill b Washington Sundar,0,1,0,0,0.00

Extras 2 (b 0  lb 1  w 1  nb 0  p 0)
Total 119-10 (18.2 Overs  RR: 6.49)
FoW,Matthew Short 37-1 4.5 | Josh Inglis 67-2 8.5 | Mitchell Marsh 70-3 9.2 | Tim David 91-4 11.3 | Josh Philippe 98-5 13.1 | Glenn Maxwell 103-6 14.6 | Marcus Stoinis 116-7 16.4 | Xavier Bartlett 116-8 16.5 | Ben Dwarshuis 118-9 17.6 | Adam Zampa 119-10 18.2 | Powerplays Overs Runs | mandatory 0.1 - 6 48 | Partnerships
